time(s);time_scaled;abs_corr
1722;1222;2.63E+01
1724;1224;2.30E+01
1726;1226;1.97E+01
1728;1228;0,00117
1730;1230;0,00213
1732;1232;0,0021
1734;1234;0,00107
1736;1236;0,00104
1738;1238;1.09E+00
1740;1240;-0,00102
1742;1242;-0,00105
1744;1244;-0,00108
1746;1246;-0,00111
1748;1248;-0,00115
1750;1250;-0,00118
1752;1252;-2.18E+00
1754;1254;-2.54E+01
1756;1256;-2.92E+01
1758;1258;6.70E+01
1760;1260;6.31E+00
1762;1262;0,00159
1764;1264;0,00155
1766;1266;0,00151
1768;1268;0,00147
1770;1270;4.24E+01
1772;1272;-6.20E+01
1774;1274;-0,00167
1776;1276;-0,00171
1778;1278;-0,00176
1780;1280;-8.16E+00
1782;1282;-0,00187
1784;1284;-9.27E+00
1786;1286;1.39E+00
1788;1288;-4.67E+00
1790;1290;8.91E+01
1792;1292;8.27E+01
1794;1294;7.62E+01
1796;1296;0,0017
1798;1298;0,00163
1800;1300;0,00156
1802;1302;0,00149
1804;1304;4.15E+00
1806;1306;-6.59E+01
1808;1308;-0,00174
1810;1310;-0,00181
1812;1312;-0,0019
1814;1314;-9.81E+01
1816;1316;-0,00107
1818;1318;-0,00116
1820;1320;-0,00125
1822;1322;-3.44E+01
1824;1324;-4.41E+01
1826;1326;4.60E+01
1828;1328;3.60E+01
1830;1330;0,00126
1832;1332;0,00116
1834;1334;0,00105
1836;1336;9.47E+01
1838;1338;-1.58E+01
1840;1340;-2.64E+01
1842;1342;-0,00137
1844;1344;-0,00148
1846;1346;-5.87E+01
1848;1348;-6.95E+01
1850;1350;-8.04E+01
1852;1352;-9.13E+01
1854;1354;-0,00102
1856;1356;-1.29E+01
1858;1358;7.64E+01
1860;1360;6.58E+01
1862;1362;5.54E+00
1864;1364;0,00145
1866;1366;0,00235
1868;1368;0,00126
1870;1370;0,00116
1872;1372;0,00107
1874;1374;-1.86E+00
1876;1376;-0,0011
1878;1378;-0,00119
1880;1380;-2.70E+01
1882;1382;-3.49E+01
1884;1384;-4.26E+01
1886;1386;-5.00E+01
1888;1388;4.29E+01
1890;1390;3.61E+01
1892;1392;2.95E+01
1894;1394;0,00123
1896;1396;0,00117
1898;1398;0,00112
1900;1400;0,00106
1902;1402;0,00101
1904;1404;9.65E+01
1906;1406;-8.08E-01
1908;1408;-0,00112
1910;1410;-0,00117
1912;1412;-0,00121
1914;1414;-0,00124
1916;1416;-2.80E+01
1918;1418;-3.15E+01
1920;1420;6.51E+01
1922;1422;6.19E+01
1924;1424;5.88E+01
1926;1426;5.58E+01
1928;1428;5.30E+00
1930;1430;0,0015
1932;1432;0,00148
1934;1434;4.51E+01
1936;1436;4.26E+00
1938;1438;-5.99E+01
1940;1440;-6.24E+01
1942;1442;-0,00165
1944;1444;-0,00168
1946;1446;-0,0027
1948;1448;-0,00173
1950;1450;-7.61E+01
1952;1452;-7.91E+01
1954;1454;1.78E+01
1956;1456;1.46E+01
1958;1458;1.14E+01
1960;1460;8.11E-01
1962;1462;0,00105
1964;1464;0,00102
1966;1466;9.84E+01
1968;1468;9.52E+01
1970;1470;-8.04E+00
1972;1472;-1.12E+01
1974;1474;-0,00114
1976;1476;-0,00117
1978;1478;-0,00121
1980;1480;-2.37E+01
1982;1482;-2.67E+01
1984;1484;-2.97E+01
1986;1486;-3.27E+01
1988;1488;6.45E+01
1990;1490;-3.82E+00
1992;1492;5.92E+01
1994;1494;5.68E+01
1996;1496;0,00155
1998;1498;0,00152
2000;1500;0,00151
2002;1502;0,00149
2004;1504;-5.27E+00
2006;1506;-5.41E+00
2008;1508;-5.54E+00
2010;1510;-0,00156
2012;1512;-5.75E-01
2014;1514;-5.83E+00
2016;1516;-5.91E+01
2018;1518;4.03E+01
2020;1520;3.98E+01
2022;1522;3.94E+01
2024;1524;0,00139
2026;1526;0,00139
2028;1528;0,00139
2030;1530;0,00139
2032;1532;3.98E+01
2034;1534;4.02E+01
2036;1536;-5.94E+01
2038;1538;-5.89E+01
2040;1540;-5.84E+01
2042;1542;-0,00158
2044;1544;-0,00158
2046;1546;-0,00157
2048;1548;-5.70E+00
2050;1550;-5.68E+01
2052;1552;4.34E+01
2054;1554;4.35E+01
2056;1556;4.35E+01
2058;1558;4.35E+01
2060;1560;4.35E+01
2062;1562;4.34E+01
2064;1564;4.33E+01
2066;1566;-5.69E+01
2068;1568;-5.71E+01
2070;1570;-5.74E+01
2072;1572;-5.77E+00
2074;1574;-5.81E+01
2076;1576;-0,00159
2078;1578;-5.91E+01
2080;1580;-5.96E+01
2082;1582;-6.02E+01
2084;1584;3.92E+01
2086;1586;3.87E+01
2088;1588;3.82E+00
2090;1590;0,00138
2092;1592;3.75E+01
2094;1594;3.73E+01
2096;1596;3.72E+01
2098;1598;3.72E+01
2100;1600;3.73E+01
2102;1602;-6.24E+01
2104;1604;-6.20E+01
2106;1606;-0,00162
2108;1608;-6.08E+00
2110;1610;-6.00E+01
2112;1612;-5.90E+01
2114;1614;-5.78E+01
2116;1616;4.36E+01
2118;1618;4.53E+01
2120;1620;0,00147
2122;1622;0,0015
2124;1624;0,00152
2126;1626;0,00155
2128;1628;5.83E+01
2130;1630;6.19E+01
2132;1632;-3.42E+01
2134;1634;-3.00E+01
2136;1636;-2.55E+01
2138;1638;-2.08E+01
2140;1640;-1.57E+00
2142;1642;-0,0011
2144;1644;-0,00105
2146;1646;1.00E+00
2148;1648;7.10E+00
2150;1650;1.35E+01
2152;1652;2.01E+01
2154;1654;2.70E+01
2156;1656;3.42E+01
2158;1658;4.17E+01
2160;1660;0,00149
2162;1662;0,00158
2164;1664;6.58E+01
2166;1666;7.44E+01
2168;1668;-1.68E+01
2170;1670;-7.86E-01
2172;1672;1.31E-01
2174;1674;1.06E+01
2176;1676;2.01E+01
2178;1678;2.97E+01
2180;1680;-6.07E+00
2182;1682;4.90E+01
2184;1684;5.87E+01
2186;1686;-3.15E+01
2188;1688;-2.18E+01
2190;1690;-1.21E+01
2192;1692;-2.55E+00
2194;1694;6.93E+00
2196;1696;-8.37E+01
2198;1698;-7.45E+01
2200;1700;-6.55E+00
2202;1702;-5.67E+01
2204;1704;-4.81E+01
2206;1706;-3.97E+01
2208;1708;-3.15E+01
2210;1710;7.64E+01
2212;1712;-1.59E+01
2214;1714;-8.52E+00
2216;1716;-1.37E+00
2218;1718;5.51E+00
2220;1720;1.21E+00
2222;1722;1.84E+01
2224;1724;-7.56E+01
2226;1726;-6.99E+00
2228;1728;-0,00165
2230;1730;-0,0016
2232;1732;-0,00155
2234;1734;-0,0015
2236;1736;-4.62E+01
2238;1738;5.77E+01
2240;1740;6.13E+01
2242;1742;6.48E+01
2244;1744;6.81E+01
2246;1746;7.12E+01
2248;1748;7.42E+01
2250;1750;7.71E+01
2252;1752;-2.01E+01
2254;1754;-1.74E+01
2256;1756;-1.48E+01
2258;1758;-0,00112
2260;1760;-0,0011
2262;1762;-7.53E+00
2264;1764;-5.20E+00
2266;1766;-2.89E+00
2268;1768;-5.74E-01
2270;1770;1.77E+00
2272;1772;0,00104
2274;1774;0,00107
2276;1776;0,00109
2278;1778;0,00112
2280;1780;0,00115
2282;1782;0,00117
2284;1784;2.03E-01
2286;1786;2.33E+01
2288;1788;2.63E+01
2290;1790;-7.06E+01
2292;1792;-6.74E+01
2294;1794;-6.42E+01
2296;1796;-6.10E+00
2298;1798;4.22E+01
2300;1800;4.55E+01
2302;1802;-5.13E+01
2304;1804;5.20E+01
2306;1806;5.52E+01
2308;1808;5.84E+00
2310;1810;6.16E+01
2312;1812;-3.52E+01
2314;1814;-3.21E+01
2316;1816;-2.90E+01
2318;1818;-2.60E+00
2320;1820;-0,00123
2322;1822;-0,0012
2324;1824;-0,00118
2326;1826;-1.50E+01
2328;1828;-1.24E+01
2330;1830;9.01E+01
2332;1832;9.25E+01
2334;1834;9.48E+01
2336;1836;9.71E+01
2338;1838;9.93E+01
2340;1840;1.46E-01
2342;1842;3.52E+00
2344;1844;-9.45E+01
2346;1846;-9.26E+01
2348;1848;9.09E+00
2350;1850;-8.93E+01
2352;1852;1.22E+01
2354;1854;1.35E+01
2356;1856;1.48E+01
2358;1858;1.59E+01
2360;1860;1.68E+01
2362;1862;1.76E+01
2364;1864;1.83E+01
2366;1866;0,00119
2368;1868;1.92E+01
2370;1870;1.94E+01
2372;1872;-8.06E+01
2374;1874;-8.07E+01
2376;1876;-8.11E+01
2378;1878;1.83E+00
2380;1880;-8.25E+01
2382;1882;1.65E+01
2384;1884;1.53E+01
2386;1886;1.39E+01
2388;1888;1.23E+01
2390;1890;1.05E+01
2392;1892;8.42E+00
2394;1894;6.17E+00
2396;1896;0,00104
2398;1898;1.01E+00
2400;1900;9.81E+01
2402;1902;-5.06E+00
2404;1904;-8.45E+00
2406;1906;-1.21E+01
2408;1908;-0,00116
2410;1910;-0,0012
2412;1912;-0,00125
2414;1914;-2.95E+01
2416;1916;-3.46E+01
2418;1918;-3.99E+01
2420;1920;5.45E+01
2422;1922;4.87E+01
2424;1924;4.26E+01
2426;1926;3.63E+00
2428;1928;0,0013
2430;1930;2.29E+01
2432;1932;1.59E+01
2434;1934;8.65E+00
2436;1936;-9.88E+01
2438;1938;-0,00107
2440;1940;-0,00115
2442;1942;-0,00123
2444;1944;-3.13E+01
2446;1946;-0,0014
2448;1948;-4.89E+01
2450;1950;4.21E+01
2452;1952;0,00133
2454;1954;0,00123
2456;1956;0,00114
2458;1958;0,00104
2460;1960;-5.14E+00
2462;1962;-1.49E+01
2464;1964;-2.47E+00
2466;1966;-3.46E+01
2468;1968;-4.46E+01
2470;1970;-5.46E+01
2472;1972;-6.47E+01
2474;1974;-7.49E+01
2476;1976;-8.51E+01
2478;1978;4.62E+00
2480;1980;-5.64E+00
2482;1982;8.41E+01
2484;1984;0,00174
2486;1986;0,00164
2488;1988;0,00154
2490;1990;0,00144
2492;1992;3.37E+01
2494;1994;2.37E+01
2496;1996;1.38E+00
2498;1998;-9.61E+00
2500;2000;-6.02E+00
