 ,Major,Minor,Angle
460,58.1,20.3,9.0
461,56.1,18.3,67.1
462,51.6,19.3,57.0
463,54.6,14.5,142.0
464,54.3,18.3,62.6
465,49.5,15.8,32.3
466,53.0,19.2,18.8
467,49.9,18.7,19.2
468,57.7,20.7,0.9
469,51.8,19.4,151.1
470,53.0,19.9,31.7
471,50.8,17.0,27.8
472,58.1,19.0,9.1
473,62.7,19.6,169.9
474,52.2,16.9,141.3
475,48.1,17.5,96.0
476,59.9,22.1,24.0
477,53.6,18.7,65.4
478,45.5,18.7,40.3
479,56.9,19.8,27.2
480,49.1,18.3,37.4
481,46.4,14.4,47.9
482,58.2,19.2,54.1
483,54.6,17.1,43.3
484,57.2,20.2,151.4
485,60.2,19.0,44.6
486,49.8,17.9,97.3
487,57.8,20.7,63.3
488,58.8,18.9,105.4
489,48.9,20.3,60.0
490,47.2,17.5,24.4
491,61.1,18.6,169.4
492,47.2,15.5,71.6
493,56.3,17.0,63.7
494,54.9,18.9,53.0
495,48.5,16.8,116.2
496,60.4,20.5,55.0
497,48.3,16.6,107.1
498,57.5,20.0,36.3
499,62.3,18.1,61.5
500,58.5,21.9,97.3
501,62.7,17.1,57.7
502,52.8,19.6,65.1
503,54.6,19.1,22.7
504,52.8,17.9,44.5
505,47.3,16.0,165.0
506,59.9,20.7,63.2
507,66.0,19.9,159.1
508,57.1,19.6,58.7
509,54.6,19.2,168.3
510,54.2,17.2,91.0
511,56.8,20.2,83.4
512,55.6,18.3,101.9
513,50.8,20.5,84.9
514,56.9,16.4,38.0
515,55.9,18.2,110.5
516,56.7,19.0,111.9
517,51.4,20.0,177.6
518,59.1,20.2,11.8
519,50.0,19.8,96.6
520,57.9,19.1,38.7
521,51.7,18.3,53.9
522,48.7,17.4,175.3
523,52.5,18.3,66.9
524,53.8,17.6,8.5
525,51.3,17.7,53.2
526,50.6,19.6,105.6
527,53.5,17.7,163.0
528,61.0,19.6,34.0
529,57.1,18.5,5.7
530,58.2,19.1,88.5
531,55.7,20.0,71.4
532,52.5,19.4,35.2
533,54.1,19.4,135.4
534,56.9,20.1,84.9
535,52.9,18.1,177.4
536,50.1,19.3,53.5
537,53.0,18.5,123.7
538,54.9,18.5,87.8
539,58.2,18.5,58.5
540,48.4,17.3,65.6
541,49.5,16.8,23.2
542,56.9,19.5,111.2
543,49.2,16.8,135.9
544,71.2,19.6,118.9
545,52.3,18.6,53.0
546,60.9,18.1,136.1
547,55.3,18.1,26.6
548,56.2,18.6,20.1
549,54.7,17.0,73.4
550,53.8,18.8,52.5
551,49.9,17.0,38.8
552,47.3,16.7,55.4
553,59.0,19.4,52.4
554,50.6,16.6,154.5
555,61.4,19.7,135.1
556,56.4,19.7,144.2
557,49.7,19.7,11.6
558,59.3,18.8,51.0
559,54.3,19.4,118.6
560,57.4,20.5,76.6
561,47.4,16.0,126.3
562,46.0,17.2,55.0
563,52.4,17.5,33.1
564,51.7,19.0,52.3
565,53.5,17.0,9.4
566,55.2,14.7,84.1
567,59.2,21.3,82.1
568,57.7,21.6,138.1
569,50.5,18.1,67.8
570,64.9,20.7,66.2
571,55.8,21.4,133.1
572,50.2,19.6,71.2
573,57.0,20.0,145.8
574,57.3,20.0,142.2
575,58.6,16.1,128.5
576,53.3,19.7,12.4
577,65.6,19.6,12.5
578,49.4,15.5,178.2
579,55.1,16.8,157.6
580,52.7,18.4,162.8
581,56.1,19.0,137.0
582,59.5,20.8,93.9
583,57.6,20.2,144.1
584,47.7,18.6,49.2
585,51.6,18.0,53.2
586,53.1,20.1,42.8
587,50.9,18.3,53.7
588,52.0,16.7,64.2
589,57.7,19.7,93.4
590,44.4,15.6,107.7
591,53.2,16.4,111.4
592,59.6,17.7,147.2
593,54.2,17.0,35.8
594,57.8,21.5,89.9
595,60.4,18.4,37.2
596,50.8,18.9,104.1
597,46.2,17.7,109.2
598,49.0,19.1,63.1
599,52.0,15.9,128.3
600,55.1,17.7,69.0
601,59.0,21.2,65.8
602,56.6,21.5,104.8
603,44.7,17.8,69.4
604,57.5,17.4,10.2
605,56.4,20.0,74.3
606,55.3,17.8,22.4
607,66.7,20.9,57.9
608,57.4,17.4,120.3
609,48.5,17.2,96.7
610,49.3,18.7,145.1
611,52.7,20.9,87.5
612,49.5,16.2,152.8
613,49.6,17.5,67.1
614,50.9,16.2,54.7
615,54.9,20.1,99.5
616,56.1,19.9,22.6
617,65.1,18.4,109.3
618,52.0,18.2,83.1
619,53.4,19.9,62.1
620,56.8,18.5,117.9
621,53.8,21.0,76.6
622,58.1,21.1,27.2
623,63.4,19.8,114.0
624,53.7,19.8,120.0
625,56.3,17.4,167.0
626,53.2,19.0,42.3
627,53.4,20.5,71.5
628,59.4,21.2,56.2
629,52.4,19.1,130.0
630,50.7,19.0,175.5
631,57.3,17.6,73.0
632,55.5,17.7,69.0
633,52.9,18.7,12.2
634,54.1,20.9,73.7
635,51.5,19.0,65.9
636,49.0,18.8,12.3
637,73.0,18.8,165.1
638,53.5,19.0,105.5
639,51.8,18.0,145.0
640,47.5,16.1,68.4
641,52.9,16.8,169.3
642,46.3,16.3,134.0
643,49.8,18.0,60.5
644,57.0,20.5,85.5
645,54.4,18.9,159.9
646,47.9,19.7,58.7
647,52.2,18.8,154.9
648,54.6,18.8,1.9
649,52.1,18.4,63.2
650,55.7,18.3,124.5
651,55.5,21.0,73.2
652,47.8,16.9,5.5
653,61.0,18.6,169.8
654,57.6,19.2,80.5
655,57.8,21.0,79.3
656,48.9,15.6,129.6
657,57.3,18.0,83.3
658,58.2,21.0,7.8
659,47.7,16.5,166.9
660,58.6,18.8,24.6
661,55.7,18.6,19.4
662,49.0,17.8,77.4
663,59.2,21.4,68.2
664,48.6,18.3,35.0
665,56.1,18.0,112.3
666,55.5,20.7,82.5
667,50.9,17.2,176.2
668,54.8,18.0,5.7
669,57.2,18.5,12.6
670,50.9,18.5,169.8
671,55.6,18.9,27.4
672,56.5,18.5,171.1
673,56.4,21.9,88.5
674,51.4,19.9,14.5
675,51.4,19.4,137.5
676,58.1,18.2,61.8
677,52.6,18.2,162.1
678,54.3,19.1,14.1
679,56.5,20.0,48.2
680,54.8,16.4,116.8
681,57.8,16.5,116.1
682,55.8,16.1,173.3
683,52.9,16.8,130.9
684,47.5,18.1,34.8
685,52.3,20.1,13.8
686,49.6,17.5,33.4
687,63.2,19.3,173.6
688,52.8,19.0,58.0
689,53.3,20.3,5.7
690,56.8,21.3,138.1
691,62.7,19.7,45.8
692,57.3,19.9,139.9
693,56.8,18.8,0.9
694,54.0,18.8,30.5
695,58.3,20.1,45.3
696,48.4,15.2,114.1
697,50.1,19.2,47.1
698,53.8,20.4,50.5
699,53.6,16.7,39.2
700,60.6,19.7,89.3
701,52.6,16.8,66.9
702,56.4,21.0,74.0
703,52.3,19.6,134.7
704,57.1,20.0,79.7
705,58.4,19.7,30.0
706,52.6,17.5,71.0
707,50.6,17.7,162.4
708,51.6,17.7,174.8
709,61.1,21.7,75.6
710,55.3,19.0,43.3
711,54.1,16.6,127.6
712,58.3,21.3,136.0
713,58.3,19.4,3.2
714,57.1,16.6,65.8
715,58.1,18.0,136.9
716,53.3,17.1,14.0
717,58.3,16.9,15.7
718,54.0,18.1,74.2
719,57.0,19.3,69.0
720,54.8,17.6,50.7
721,59.0,18.4,114.5
722,53.9,18.2,38.3
723,58.2,17.5,71.6
724,59.5,20.8,164.9
725,45.6,17.0,47.3
726,49.9,18.5,80.3
727,50.2,16.0,145.2
728,53.4,17.7,78.4
729,58.6,17.8,133.8
730,50.8,19.0,49.3
731,54.4,17.7,17.4
732,52.2,18.5,107.5
733,59.1,20.5,50.4
734,49.2,16.9,11.3
735,52.7,18.4,6.7
736,55.7,20.5,68.3
737,56.7,18.7,23.6
738,50.9,18.9,123.0
739,57.0,18.6,52.9
740,49.0,17.2,166.8
741,62.4,18.6,115.1
742,51.0,15.3,111.3
743,51.7,18.8,167.1
744,59.3,21.0,76.0
745,52.6,17.3,37.8
746,54.3,18.5,76.5
747,46.8,18.3,166.0
748,53.2,18.3,16.3
749,50.4,17.1,172.4
750,59.9,17.2,70.6
751,61.1,21.6,86.5
752,48.3,19.3,124.4
753,47.8,19.0,38.3
754,55.6,19.0,111.6
755,53.8,18.6,104.7
756,54.1,16.6,15.8
757,55.6,18.9,40.1
758,51.0,19.0,179.9
759,58.0,21.7,53.4
760,52.1,18.4,98.2
761,55.0,17.5,15.7
762,48.5,16.9,108.6
763,51.0,20.1,59.0
764,51.4,17.3,111.1
765,54.2,18.0,25.9
766,54.3,16.6,4.6
767,54.6,19.9,1.5
768,51.9,20.5,96.7
769,54.2,17.4,171.5
770,55.2,21.4,56.3
771,53.0,18.6,14.0
772,53.6,20.6,165.2
773,50.9,19.9,28.5
774,50.4,17.7,25.6
775,53.0,18.5,64.7
776,54.3,19.5,43.4
777,54.3,20.1,107.3
778,48.7,16.7,25.4
779,69.2,15.2,30.6
780,51.1,18.9,86.2
781,48.3,17.3,14.5
782,59.1,18.9,177.0
783,47.1,18.8,29.0
784,63.1,19.3,178.2
785,49.5,19.2,102.4
786,52.5,19.7,42.2
787,54.3,20.1,123.0
788,50.4,18.7,74.4
789,52.5,19.2,48.7
790,56.9,20.0,74.2
791,48.8,15.5,117.5
792,56.3,19.5,89.8
793,60.6,18.4,51.9
794,50.5,16.7,111.1
795,59.2,18.3,105.4
796,60.8,19.1,68.2
797,51.1,18.7,49.3
798,52.5,17.3,145.5
799,57.3,19.5,7.8
800,59.9,21.1,84.0
801,55.5,18.1,157.5
802,45.2,15.5,112.7
803,46.1,16.0,64.9
804,58.8,19.1,76.8
805,51.4,18.2,168.7
806,48.2,17.6,42.2
807,58.6,17.9,113.8
808,50.9,18.5,116.5
809,60.2,17.2,40.9
810,46.4,14.9,172.0
811,55.5,19.1,131.6
812,53.5,18.9,82.3
813,55.1,20.3,158.9
814,53.0,20.1,86.9
815,55.8,18.6,73.5
816,52.3,17.8,86.6
817,43.8,12.8,136.9
818,50.6,21.1,82.6
