10ul nr-200ulh2o,,20uL-2M NaCl,
Wavelength (nm),Abs,Wavelength (nm),Abs
999,0.0125753234541139,999,0.0412767107976923
998,0.0138032752251034,998,0.0423449652858562
997,0.013146679757938,997,0.0415425881938377
996,0.0132126148789613,996,0.0423691083181419
995,0.013561482431232,995,0.0432183066586403
994,0.014213222597476,994,0.0437216329044952
993,0.0139610968465446,993,0.0442099805632788
992,0.0140879837175643,992,0.04490617092752
991,0.0140995353117024,991,0.0452532198928512
990,0.0142103874080164,990,0.0458565991075638
989,0.0143572531751261,989,0.0462658259585274
988,0.0149845998388287,988,0.0476412191344551
987,0.015659573658434,987,0.0478323500961477
986,0.0158037894890079,986,0.0482457001167183
985,0.0159321289673296,985,0.0494938019875801
984,0.0154169063791769,984,0.0496572500174067
983,0.0163864277761336,983,0.0510598638018041
982,0.0163050387187267,982,0.050806778271087
981,0.0168500825327553,981,0.0521543833756551
980,0.0165164184859684,980,0.0521223642538211
979,0.0168550070997485,979,0.053377428873012
978,0.016731183301008,978,0.0534466024370071
977,0.0173731520250326,977,0.0546075389650981
976,0.0174075589347587,976,0.0549819090869115
975,0.0177630229975741,975,0.0556827671645709
974,0.0178849564612601,974,0.0567116964425077
973,0.0180092176301428,973,0.0568013762225791
972,0.0179016538427415,972,0.058201629555632
971,0.018118454375987,971,0.0578553497168786
970,0.0180944080599561,970,0.0589951728400305
969,0.0187565863090974,969,0.0597272544835996
968,0.0184703143442181,968,0.0609777423183555
967,0.0189450154165276,967,0.0608944628997907
966,0.0184988925320561,966,0.0613992690796269
965,0.0192466180232239,965,0.0645359554425337
964,0.0195364349430545,964,0.0642114787859246
963,0.0198537039274829,963,0.0646226396611909
962,0.0205349096893551,962,0.0667409888656863
961,0.0206521946246296,961,0.0664513603440254
960,0.0204183075882112,960,0.0667920665619857
959,0.0211544540715885,959,0.0682684567107519
958,0.0204403393774334,958,0.0691248471752243
957,0.0206222528765882,957,0.069518844808442
956,0.0208960401910735,956,0.070601862738508
