10ul aunr-dna2-200ul h2o,,20uL-2M NaCl,,10uL BP 2,,20uL BP2,,10uL 2M NaCl,,20uL 2M NaCl,,20uL 2M NaCl,,30uL 2M NaCl,,10uL BP2,,30mins - rt,,50 p1,,50 p2,,50 p3,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1071,0.0237120903075332,1071,0.0167750099833609,1071,0.0124782079178157,1071,0.0120880730113656,1071,0.0104244789564706,1071,0.0106243141911033,1071,0.00934095083438741,1071,0.0135632183928648,1071,0.0145434080081244,1071,0.0764193165419831,1071,0.0154001433323755,1071,0.0342558281704371,1071,0.0198893647896535
1070,0.0260516768918265,1070,0.0180588133202448,1070,0.0117141378041637,1070,0.0131362740771438,1070,0.010182836977259,1070,0.0116250049125584,1070,0.0095253907697472,1070,0.0115026099521101,1070,0.0150400684247818,1070,0.0754127320703241,1070,0.0179372626809755,1070,0.0343491690536313,1070,0.0191858208052441
1069,0.0252569513050903,1069,0.0185577835751449,1069,0.0147486561614428,1069,0.0135541914681471,1069,0.0121092337195123,1069,0.0119448727276847,1069,0.0106036766473158,1069,0.0126733402431452,1069,0.0143534270797401,1069,0.0770039769705153,1069,0.0161057966764881,1069,0.0346836745435106,1069,0.0216942744344106
1068,0.0261860506533821,1068,0.017199811764245,1068,0.0118490419350492,1068,0.0144152373620407,1068,0.0111643689148298,1068,0.0105075048339448,1068,0.00952404131194851,1068,0.0120758827821663,1068,0.0158741835611272,1068,0.077418710633438,1068,0.0180814813538973,1068,0.0361870110966611,1068,0.0207452905433697
1067,0.0259508414082698,1067,0.0172841162563355,1067,0.0130998828363085,1067,0.0133116297546037,1067,0.0100411376464198,1067,0.0105978144904628,1067,0.00948258060312608,1067,0.012386414403144,1067,0.0126799501104559,1067,0.075630567397624,1067,0.0173678174467774,1067,0.0355746001588298,1067,0.0189700823782785
1066,0.0276730924993569,1066,0.0194779254463817,1066,0.0143314611284332,1066,0.0158825338819794,1066,0.0118347835244224,1066,0.0119636050366957,1066,0.00978077836576032,1066,0.0133704889157333,1066,0.0154155653116219,1066,0.0780456752682328,1066,0.0183997683060806,1066,0.0364468901222451,1066,0.0197189182301749
1065,0.0263285795546872,1065,0.0205305945553036,1065,0.0139097484126187,1065,0.0152227092792312,1065,0.0127651944295985,1065,0.012095073232138,1065,0.0107422163424172,1065,0.0129901939672841,1065,0.0166807974981727,1065,0.077524157926313,1065,0.0185079687961345,1065,0.0377823953661646,1065,0.021736835914187
1064,0.0263321550658231,1064,0.017443477591172,1064,0.0117492694856374,1064,0.0131664512383492,1064,0.0119415201553499,1064,0.00920769596270572,1064,0.00919431720037312,1064,0.0132328163507077,1064,0.0128518419808923,1064,0.0750581209840448,1064,0.0163192296361223,1064,0.0344311249929394,1064,0.0198263912048125
1063,0.0268814004571869,1063,0.0185400613937605,1063,0.0130413270867601,1063,0.0135954017075853,1063,0.0122423701994298,1063,0.0106334130598238,1063,0.0100762932091112,1063,0.0137215138408305,1063,0.0164954452738179,1063,0.0785354366611369,1063,0.0190562729290198,1063,0.0370525267703283,1063,0.0209835375467982
1062,0.0275995461908327,1062,0.020857064585767,1062,0.0134490603084839,1062,0.0155300805791085,1062,0.0131105811177792,1062,0.0134479923043518,1062,0.0125431357071083,1062,0.0134385939812376,1062,0.0165524786453281,1062,0.0785769083761039,1062,0.0185809369656961,1062,0.0374138090831801,1062,0.0215191740207469
