1-heat,,2-heat,,3-heat,,4-heat,,4-heat-3,,5-heat,,6-heat,,7-heat,,8-heat,,9-heat,,10-heat,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1083,0.0044234800437805,1083,0.00131697611971678,1083,-0.000382839996818247,1083,0.0072306349368939,1083,0.00596168154532695,1083,0.00226717622360959,1083,0.000417301029626018,1083,0.00108639393092048,1083,0.00337721172097913,1083,0.00468823475129697,1083,0.00314456863250886
1082,0.0058253665950314,1082,0.00184947257965617,1082,0.000721160238044052,1082,0.00518797021174148,1082,0.00459676482306973,1082,0.00130124186601598,1082,-0.00124354011394631,1082,0.00117497305601243,1082,0.00258303540262495,1082,0.00337457683586799,1082,0.0023816596961414
1081,0.00473507606875648,1081,-0.000250710881591711,1081,0.000372918005782789,1081,0.00645043160831003,1081,0.00476362819913,1081,-0.000703631572332254,1081,-2.2675516269061E-05,1081,0.00199915988106059,1081,0.00288700704329001,1081,0.00411218581801679,1081,0.000661683211258972
1080,0.0013155999988731,1080,-0.00115447974298663,1080,0.000840346222286253,1080,0.0068188871708201,1080,0.0069345243756684,1080,0.00196917668733135,1080,0.000496725057272993,1080,0.00202997737606466,1080,0.00341530194508325,1080,0.0046813005721605,1080,0.0014611554276601
1079,0.0037051840606659,1079,0.00120866537679545,1079,0.00218157407062905,1079,0.00611940895180323,1079,0.004730522556992,1079,0.00143146906710078,1079,0.000828493583881707,1079,0.000463217488980299,1079,0.00266871673053496,1079,0.00272070671214068,1079,0.00268429223436046
1078,0.00292307367172767,1078,0.000948824561628812,1078,0.000478143975033285,1078,0.00388907382735971,1078,0.0048684052140051,1078,-0.000449923850768472,1078,-0.000850556056565885,1078,0.00162071216928842,1078,0.00159527580119529,1078,0.00464453818886206,1078,0.00184507920342734
1077,0.00419511132500445,1077,0.00106181921529876,1077,-0.000563896092355798,1077,0.0065842622119166,1077,0.00667331276142924,1077,0.000111479286208562,1077,-0.000234670547333873,1077,0.000304966099048828,1077,0.00188805301100433,1077,0.00387909655417981,1077,0.00214106853783561
1076,0.00261996224264574,1076,0.00123633760442371,1076,0.000753935716270021,1076,0.0059890021612934,1076,0.00548428131456939,1076,0.00096522058452803,1076,-0.00122108313373444,1076,0.00167829376209808,1076,0.00272409304907596,1076,0.00439612698471148,1076,0.00150959815968604
1075,0.00233483727930111,1075,0.00280599834764436,1075,0.00108234562444199,1075,0.00751238257274522,1075,0.00718365528648627,1075,0.0016874929728963,1075,-0.00120017386686238,1075,0.00148798657893358,1075,0.00451436419290441,1075,0.00426715150006719,1075,0.00310376461514431
1074,0.00334885493582925,1074,0.00103799837895933,1074,0.000335844946088837,1074,0.00504925279216575,1074,0.00616926682144409,1074,0.000159098413647267,1074,0.000197399477591723,1074,0.000980371890153934,1074,0.00273352283413973,1074,0.00480068857562392,1074,0.002123093304211
1073,0.00365532110306213,1073,0.00332769942352527,1073,0.000912169236670575,1073,0.00581531850467232,1073,0.00464875065997605,1073,0.000988129355680663,1073,-0.00158200939287194,1073,0.00115747899898556,1073,0.00344971646535562,1073,0.0053666446437442,1073,0.00242000109841733
1072,0.0030038174883174,1072,0.00100032364514018,1072,0.00203770159729852,1072,0.00522938972253221,1072,0.00450413714186354,1072,0.00181193534178865,1072,-0.00037865014479534,1072,0.000829064163001962,1072,0.0032149482752414,1072,0.00525477782696692,1072,0.0012297438742258
1071,0.00292239609185296,1071,-0.00109886583151157,1071,0.00137773749976165,1071,0.00622432979284827,1071,0.00488348387729124,1071,0.000110158764909408,1071,-0.00101370129594106,1071,0.00148655796665937,1071,0.0036594456750289,1071,0.00433533405087077,1071,0.00142502819990072
1070,0.00434032790225355,1070,0.00255621463119697,1070,0.00041180796345372,1070,0.00510220953890786,1070,0.00554187933430385,1070,0.00185394399044695,1070,-0.00174101279697744,1070,0.000813373510335215,1070,0.0021075639257155,1070,0.00414294455109249,1070,0.000240391848796475
1069,0.00350093887940571,1069,-0.000693810717515921,1069,0.00107780429990516,1069,0.00669042580567379,1069,0.0055706943190846,1069,0.000478921410237668,1069,0.000198331797121636,1069,0.00215529837482844,1069,0.00297100209944368,1069,0.00308979044642186,1069,0.00236554846722226
