Wavelength (nm),Au@BSPP@10C,Au@BSPP@25C,Au@BSPP@40C,Au@BSPP@60C,Au@BSPP@70C,Au@BSPP@80C
633,1.31352082470938,1.15324919090473,0.548220116327742,0.353312654324386,0.309002925215152,0.301526617058897
632,1.31466844795297,1.15482597097807,0.55138168251005,0.358651738829382,0.31404806270324,0.306989394007982
631,1.31641851923202,1.15603020160343,0.553957697255497,0.362602028879438,0.319122001864272,0.311782533947913
630,1.31779513820462,1.15690496682584,0.55720675306757,0.367695586475375,0.324660925208322,0.317209513333919
629,1.3188185231455,1.15874826076109,0.560908244279766,0.373130508580237,0.3302666976169,0.32244927219665
628,1.31979685290224,1.16069618425361,0.56388106432759,0.378482336500129,0.335562122854415,0.327811276400434
627,1.32141953065873,1.16165481637879,0.567353499654394,0.383789738074806,0.341191068575803,0.333389878743432
626,1.32357044483805,1.16379764941001,0.570683968824306,0.389316021710895,0.347051557349496,0.339502022392346
625,1.32410615667882,1.16544007365415,0.574559056972861,0.39517369361024,0.353411966697848,0.345538714919625
624,1.32576412517313,1.16682159022842,0.578647801217645,0.401415863991954,0.359557416940396,0.352162596079933
623,1.32592723806716,1.16763926710304,0.582002341805095,0.406806536167838,0.366114161037099,0.358365438428339
622,1.32802812834287,1.17060844617615,0.585973483007547,0.413345093683354,0.372719018847598,0.365021431846895
621,1.32825981969778,1.17257397613096,0.590033237493761,0.419374636863669,0.37985622101995,0.371418752384431
620,1.3313709930123,1.17390219880482,0.594196628993229,0.426249875839499,0.386220710528503,0.378262194125812
619,1.33239063579559,1.17681186830307,0.598496074749603,0.432985363640121,0.393954947169607,0.385749377073582
618,1.33453397399849,1.17937994673888,0.603267566465476,0.440073366070487,0.401112529617205,0.393047677827355
617,1.33599092901588,1.1803726317994,0.607871584490061,0.447402168390654,0.409003016369714,0.400308771528966
616,1.33708684427212,1.18293785282572,0.612296785828217,0.454679115957216,0.416581739294463,0.40800351891512
615,1.33905546835753,1.18488566625071,0.61725385464879,0.462180531268561,0.424892520263962,0.416361672842218
614,1.33996183365233,1.18695834357405,0.622700974521399,0.470191953902831,0.433339713538543,0.424568249425613
613,1.34217938528764,1.18968720830087,0.627920460725866,0.478308855600449,0.44152308427333,0.433152712143959
612,1.34394816365995,1.19223314561888,0.632891213401482,0.486402686691393,0.451038454703807,0.441395321282091
611,1.34512836749468,1.19388356211015,0.63870154076414,0.494737118527467,0.45985187316299,0.451088698764195
610,1.3472851600816,1.19628865258365,0.644006904274929,0.503259453320892,0.468861307562782,0.459809671671816
609,1.34950379797392,1.19859323225941,0.649740296619586,0.51198237638694,0.478078342073056,0.468666254410737
608,1.35107892391671,1.20121295461902,0.655905310262184,0.521757803436585,0.488258931610905,0.478776759185839
607,1.35222302506929,1.20285945860863,0.662481500182054,0.531858397646078,0.498760591825178,0.488964590574126
606,1.35499085641866,1.20491302399845,0.668894627226243,0.542074856189743,0.509544295774849,0.500051044768048
605,1.35605301614419,1.20803360886452,0.675397777641252,0.551556414246882,0.519786338390661,0.50989031453927
604,1.35793266740739,1.21068448169647,0.681750049633349,0.56141656491158,0.530228769118464,0.520534362296286
603,1.35963925117783,1.21249469853432,0.688415539449227,0.572429450649789,0.541350500193931,0.531769832956481
602,1.36091474602169,1.21531795132567,0.695996326177681,0.583424001715071,0.553739101990074,0.543620460760214
601,1.36322353231365,1.21695529361568,0.703759785159559,0.595018112917116,0.565632687088512,0.555661064800444
600,1.36444737542644,1.21933263852582,0.711931006845802,0.607226454294376,0.578413823422941,0.567994959938871
599,1.36561396169358,1.22190012983119,0.719834985982903,0.619811445775049,0.59138740590997,0.581032369126581
598,1.36699674791965,1.22414855038143,0.728177758814396,0.632043099282282,0.605062010291506,0.594152245334468
597,1.36892749934524,1.22666772526803,0.73625273275783,0.644416999424331,0.616932576942824,0.606676273002909
596,1.36995721193807,1.22904456385433,0.745026095816569,0.6570944931372,0.630475948317073,0.619954901401388
