Wavelength (nm),Au@Cit.
866,0.0683262886447532
865,0.0685781851723277
864,0.0694055129939483
863,0.0696309299273164
862,0.0706955845414088
861,0.0702105027278722
860,0.0703383500164175
859,0.0697793983673687
858,0.0704051949541699
857,0.0715272954404833
856,0.0718680989980557
855,0.0717786129372199
854,0.0714297018328223
853,0.0718457410256202
852,0.0722188299455276
851,0.0727250747531104
850,0.0744458060585658
849,0.0726390225923922
848,0.0744429177962699
847,0.0739883788482466
846,0.0742307138012839
845,0.0742756464397599
844,0.0747095792242219
843,0.0759456546823497
842,0.0741526532445243
841,0.0759572170591682
840,0.0756944725223756
839,0.076418637485229
838,0.0762756888125126
837,0.0766762922717585
836,0.0763669705533446
835,0.0776277736893335
834,0.0771441974818798
833,0.0772225193365352
832,0.0768060265869055
831,0.0768028754371861
830,0.0770126312467009
829,0.0766306164842854
828,0.0765808387436837
827,0.0771898345555249
826,0.0771661187567962
825,0.0770262620814104
824,0.0772452486144243
823,0.077295288141991
822,0.0768751722740001
821,0.0771765387070349
820,0.0778521116062271
819,0.0777210737843961
818,0.077362779504388
817,0.0791336391840877
816,0.0785716350138233
815,0.078729087970777
814,0.0788118551019007
813,0.0789356783570728
812,0.0784218052238231
811,0.0795332203650798
810,0.0800115291776224
809,0.0793307269964947
808,0.0802644428513216
807,0.0800245386214733
806,0.0804083680333301
805,0.0805387236160645
804,0.0803010658997574
803,0.0807623882902147
802,0.0813510556943418
801,0.0819971084609495
800,0.0822002235711777
799,0.0822610045695884
798,0.0828334763578758
797,0.0827769375264211
796,0.0843713644227621
795,0.0843794122708319
794,0.0835591421031024
793,0.084373187750274
792,0.0845541439245828
791,0.0852138650270482
790,0.084286368133037
789,0.0846289381047443
788,0.0865812183346659
787,0.0864943353192705
786,0.0862213830053232
785,0.0866312076406402
784,0.0866940658253545
783,0.0875506522936393
782,0.0873995608207966
781,0.0878147453051563
780,0.0885123210261709
779,0.0880972938383235
778,0.0900171702026912
777,0.0894269510745452
776,0.0896910422071751
775,0.0901761205949341
774,0.0906914368922126
773,0.091367614618842
