Wavelength (nm),Au@BSPP
1013,-0.00195660330058235
1012,-0.00127843647314334
1011,-0.00145463058518367
1010,-0.00094520635732193
1009,-0.0011744618327338
1008,-0.00124890896710339
1007,-0.00137557399596013
1006,-0.00207115986772604
1005,-0.00238560992989276
1004,-0.00180304083025144
1003,-0.00130372941863312
1002,-0.00160769731052601
1001,-0.00157019656732306
1000,-0.00215050207902892
999,-0.00127513279598694
998,-0.00161527959819419
997,-0.00175008810822129
996,-0.00174482857594685
995,-0.00201839442453386
994,-0.0024373011362857
993,-0.00145442418984965
992,-0.000234825779214003
991,0.000221044755076398
990,-4.63851780409176E-05
989,-0.000957811063561836
988,-0.000804928483194611
987,-0.000724668129765328
986,-0.000828595478628897
985,-0.000405185191624149
984,-0.000187684481611807
983,-0.00086895041545747
982,-0.000855413069724483
981,-0.00158371165128939
980,-0.000977698892945067
979,0.000353383658155206
978,2.04245092722016E-05
977,-8.17401951629536E-05
976,-0.000202174118863935
975,-0.000703424819782495
974,-0.000163879028024616
973,-0.000146179345040153
972,-0.000270217199464755
971,-0.000187218735252376
970,-0.000447699956914029
969,0.000265438161842664
968,-5.8187758549355E-05
967,-0.00020201887531253
966,-0.000204295775171462
965,-0.000404305888559393
964,-0.000593263402306134
963,-0.000179818476080083
962,-3.02337586017154E-05
961,0.000101976800881997
960,-0.000248330740392257
959,-0.000326247717125801
958,-9.52499175049138E-05
957,-0.000376425885938401
956,-0.000322109052646757
955,-0.00130723934365561
954,-0.000235343218413712
953,-0.00130656833077093
952,-0.000857324857877905
951,-0.000585559845883098
950,-0.000425460392012423
949,-0.000776505714331834
948,-0.000782190416918505
947,-0.00113010757763298
946,-0.000597089278873143
945,-0.0010673119687523
944,-0.000972223373631643
943,-0.00141876792374739
942,-0.00109659361685015
941,-0.000609859190448967
940,-0.00113862766381242
939,-0.0012452436995407
938,-0.00085179615019582
937,-0.000678303652471495
936,-0.000539801006444941
935,-0.000668120378571467
934,-0.000452096015167509
933,-0.000322212519739409
932,-0.000499105197088975
931,-0.000393754112916683
930,-0.000552417484252533
929,-0.000714692690251552
928,-0.00110583732503018
927,-0.000844820577466461
926,-0.000768960448700611
925,-0.000835674656802917
924,-0.00106049479381242
923,-0.000956158008176364
922,-0.00105605324347716
921,-0.00120889909073929
920,-0.000997844077319626
919,-0.00152134273694945
918,-0.00139848743889156
917,-0.00115835231282297
916,-0.000376994883474508
915,8.66489793550385E-05
914,-0.000707973353140564
913,-0.000725340042325107
912,-0.000239793170082195
911,-0.000209211768247657
910,-0.000863576863076707
909,-0.000538353190466578
908,-0.000667913609115363
907,-0.0011601078664401
906,-0.00160475720418023
905,-0.000657006380744042
904,0.000370223560767885
903,0.000205039377182002
902,-0.00048736630710517
901,-0.000567877340520569
900,-0.000697377264156567
899,-0.000629814656672128
898,-0.000528166634461172
897,-0.001132689439581
896,-0.000715157871280719
895,0.0002537048074336
894,0.000350818868748685
893,-0.000112692883754303
892,-0.000385736661003584
891,-0.00091612115145931
890,-0.000272286783904046
889,-0.000461250017196786
888,-0.000108914496500873
887,-0.00109674854095471
886,-0.000778934641814242
885,-0.000659952910200228
884,-0.000937922323405183
883,-0.000673599733288053
882,-0.000204554513036472
881,0.000619478649339876
880,1.49882342899303E-05
879,-6.24324678539274E-05
878,-0.000469162643137766
877,-0.000890495626025379
876,-0.00044361416875703
875,-0.000477281985252392
874,-0.000104566722547163
873,-0.000906821740409797
872,-0.000311555279706755
871,1.19594820316035E-05
870,-0.000351492716412112
869,-0.000849884337704515
868,-0.000403426583714334
867,-5.23900397847821E-05
866,0.000868020928439722
865,0.000199056935917513
864,0.000417611959977584
863,0.000317011696822882
862,0.000841124306143791
861,-0.000205278978238435
860,-0.000319522367319122
859,0.000532464129649662
858,0.000121965921427078
857,3.99956626691917E-05
856,-0.000548487800957724
855,0.000280746392188076
854,6.91210356779133E-05
853,0.00109282977787626
852,-0.000777384264138309
851,0.000572120059543564
850,0.000341570208496597
849,0.000487991590454433
848,0.000675449836907791
847,0.000232336929958785
846,0.000774240121169456
845,0.00096267812270486
844,0.00028724802044199
843,0.000796412682070808
842,-0.000385840112938593
841,0.000271680539180897
840,0.00104993458243315
839,0.00115324834620308
838,0.000235237719529735
837,0.000275928515313071
836,-0.000132360670054637
835,0.000376571078123994
834,0.00150081832530024
833,0.00135730099282883
832,0.00131334109297943
831,0.00098755856754131
830,0.000334834613498727
829,-6.79712334618798E-05
828,0.00112838436088139
827,0.00136825920352372
826,0.000516732355436758
825,-5.79806984976474E-05
824,0.000398101511687293
823,0.00164622798008676
822,0.00147086951558396
821,0.00146647996766187
820,0.00122361750596522
819,0.000913336556013578
818,0.00120077418282489
817,0.000506702674953029
816,0.000886151799836678
815,0.000757177096543744
814,0.000654372299342884
813,0.0010006090475047
812,0.00089136553817491
811,0.00137836073744732
810,0.000943584191176895
809,0.00117712741740658
808,0.00173619486627974
807,0.000976584014192215
806,0.00150814350030114
805,0.000955128655415388
804,0.00115210633656499
803,0.00115288497917431
802,0.00125248487829261
801,0.00171795050766843
800,0.00150354576963989
799,0.00169716015015166
798,0.000962704066117687
797,0.00203034147768401
796,0.00190716251268896
795,0.00165054139154921
794,0.00131728769485282
793,0.000770843021785357
792,0.00134997836160094
791,0.00164105713967461
790,0.00184658698434293
