Wavelength (nm),Au@BSPP@70C,Au@BSPP@5C
1002,0.0196373627196439,1.00840660274745
1001,0.0209577292910333,1.00639249624834
1000,0.0219315452733317,1.00886339014564
999,0.0236521681980046,1.00844549958423
998,0.0247023294601223,1.01100758008249
997,0.0259986315956835,1.0065121717149
996,0.0275778929557144,1.00652935067529
995,0.0287638718885657,1.00855696375875
994,0.0303484090918004,1.00585308531319
993,0.0324247564473823,1.00735546494924
992,0.0350114230116825,1.00936489423717
991,0.0368468908659746,1.0091255195905
990,0.037933810164741,1.00577064273495
989,0.0394543554711082,1.00651151478918
988,0.0415500226846338,1.00736754314312
987,0.0448194878768912,1.0032521570911
986,0.0458315134807887,1.00448752196691
985,0.0477947529168682,1.00732380653655
984,0.0508349174705039,1.00560560784715
983,0.0526595879443173,1.00657671951247
982,0.0545036371189158,1.00564507413291
981,0.0564881381291053,1.00308722899877
980,0.0590107109662227,1.00446414671475
979,0.0614962447316493,1.00421958299419
978,0.0634588930797529,1.00494020371143
977,0.065090390124905,1.00266118312749
976,0.066904295578293,0.999801849294428
975,0.0686291762378608,1.0021578608356
974,0.0710144266235234,1.0033240149221
973,0.0723890111272848,1.00222960286669
972,0.0742578632470867,1.00285666283973
971,0.0757837212573389,1.00056645655641
970,0.0775241269814505,0.99873894682867
969,0.079735963706196,0.998809448606219
968,0.0803914844887797,1.0000803445341
967,0.082741263901641,1.00152174215807
966,0.0846884555448967,0.997560858378911
965,0.0856475838111714,0.993385278899366
964,0.0878424088121406,0.998781730523807
963,0.0879319708077514,1.00231661329813
962,0.0876043638542408,1.00167080980215
961,0.0889732078349189,1.00050169440054
960,0.0864459095317174,0.995684409847563
959,0.0865865582578329,0.993943876036895
958,0.084249093203176,0.993930123313818
957,0.0828842266189991,0.993901438640974
956,0.0802585261519834,0.99698348578529
955,0.0777234266669951,0.998884028388606
954,0.0747679985855733,0.998241113919519
953,0.0713968093670293,0.995590742252046
952,0.0692242314398982,0.995685947651061
951,0.0683409826364327,0.998262351819725
950,0.0660860847174263,0.997156816288085
949,0.0643893885456855,0.998996422464106
948,0.0623330069676916,0.994756506079546
947,0.0608624182796946,0.995616495623741
946,0.0598135188453341,0.991827895360721
945,0.0591191374878239,0.994222310755121
944,0.0589496291692063,0.99296348297814
943,0.0574973481766112,0.997864676149715
942,0.0565061223397448,0.994958885904582
941,0.0558376400752077,0.992971697111024
940,0.0548649938974912,0.995360183091422
939,0.0544282211235699,0.995916711919755
938,0.0541532251040359,0.994531789213683
937,0.0530189742841714,0.992103578271925
936,0.0525754632294662,0.993213988382736
935,0.0515482597046581,0.993470216382665
934,0.0502742524346663,0.994320985168872
933,0.0496826737014907,0.991944512747056
932,0.0491085367551973,0.995631455061951
931,0.047711016247962,0.990164081885697
930,0.0474479489202018,0.99163017469523
929,0.046659672860107,0.989210386700273
928,0.0458606842894864,0.987840957214326
927,0.044944265276515,0.990000886974659
926,0.0443923816899278,0.988481629691669
925,0.0441295110704704,0.987664039126992
924,0.0427894577791272,0.986925122446339
923,0.0427001401688588,0.987649477423701
922,0.0421638782615433,0.98615429958075
921,0.042256366721407,0.986097605339505
920,0.0414461222614435,0.985317331038427
919,0.0413974844432697,0.984370337979663
918,0.0409782803225445,0.983432382098338
917,0.0408595570723505,0.984518253511167
916,0.0417413978021514,0.98478630313988
915,0.0415977374845035,0.983575086856095
914,0.0411442173006487,0.983133604761027
913,0.0411752379325878,0.979498500484211
912,0.0410140401861115,0.979865707880481
911,0.0412015075948382,0.978258769729878
910,0.0408398204162197,0.97677156541769
909,0.0409271917835048,0.979647482805068
908,0.0411156176719703,0.976960915972957
907,0.0407905111347535,0.976881692847826
906,0.0402210734278133,0.974659830100079
905,0.0412187559295498,0.975701135033526
904,0.0422127731611142,0.97581549021241
903,0.0415796764600685,0.972881119113484
902,0.0418320576135791,0.97150156831437
901,0.0411608087942215,0.971174123619912
900,0.041293478162161,0.969865026987678
899,0.0420290036618852,0.969813740000143
898,0.0422302614132934,0.969034313919902
897,0.0420169984587702,0.968321465345391
896,0.0425071146470602,0.967333848513184
895,0.0433861602955668,0.969592783180707
894,0.0433927968380497,0.967529426730109
893,0.0435280957094394,0.965750674801088
892,0.043670821757361,0.967047709561186
891,0.043577230303607,0.964947934301453
890,0.0438209822926419,0.962346386909352
